word,pos,hindi
Overhaul,verb,आमूल-चूल सुधार
Combat,verb,मुकाबला करना
Scarcity,noun,कमी
Address,verb,समाधान करना
Vulnerability,noun,कमजोरी
Shave off,phrasal verb,कम करना
Global warming,noun,वैश्विक तापमान वृद्धि
Upset,verb,बिगाड़ना
Quantification,noun,मात्रा निर्धारण
Patchy,adjective,असमान
Fragmented,adjective,खंडित
Widespread,adjective,व्यापक
Variation,noun,बदलाव
Set up,phrasal verb,स्थापित करना
Repository,noun,भंडार
Scenario,noun,स्थिति
Salient,adjective,प्रमुख
Given,preposition,को देखते हुए
Take cue,phrase,प्रेरणा लेना
Take a toll,phrase,नुकसान पहुँचाना
Landslide,noun,भूस्खलन
Longstanding,adjective,पुराना
Unaddressed,adjective,अनसुलझा
Expose,verb,उजागर करना
Abdication,noun,पद त्याग
Account for,phrasal verb,स्पष्टीकरण देना
Hydrology,noun,जल विज्ञान
Drought,noun,सूखा
Deal with,phrasal verb,निपटना
Tide over,phrasal verb,पार करना
Refugee,noun,शरणार्थी
Successive,adjective,लगातार
Outrightly,adverb,पूरी तरह से
Enclave,noun,क्षेत्र/बस्ती
Relentless,adjective,"लगातार, निरंतर"
Neighbouring,adjective,पड़ोसी
Hellhole,noun,नारकीय स्थान
State,verb,घोषित करना
Troop,noun,सैनिक
Claim,verb,दावा करना
Relocation,noun,पुनर्वास
Commit (to),verb,समर्पित होना
Deploy,verb,तैनात करना
Reaffirm,verb,पुनः पुष्टि करना
Out-of-the-box,adjective,"नवीन, अनोखा"
Imperial,adjective,साम्राज्यवादी
Possession,noun,कब्जा
Will,noun,इच्छाशक्ति
Advocate,verb,समर्थन करना
Ethnic,adjective,जातीय
Ethnic Cleansing,noun,जातीय सफाया
Allies,noun,सहयोगी
Unequivocally,adverb,स्पष्ट रूप से
Manage (to),verb,सफल होना
Authoritarian,adjective,तानाशाही
Regardless (of),preposition,बिना ध्यान दिए
Aid,noun,सहायता
Pay attention to,phrase,ध्यान देना
Sentiment,noun,भावना
Overwhelmingly,adverb,भारी मात्रा में
Align (with),verb,सहमत होना
Far-right,adjective,अति-दक्षिणपंथी
Alienate,verb,अलग-थलग करना
Desperate,adjective,हताश
Plant,verb,स्थापित करना
Abandon,verb,त्यागना
Ceasefire,noun,युद्धविराम
Lasting,adjective,स्थायी
Just,adjective,न्यायसंगत
Acknowledge,verb,स्वीकार करना
Uphold,verb,बनाए रखना
Stability,noun,स्थिरता
Nausea,noun,जी मिचलाना
Onset,noun,शुरुआत
Peripheral,adjective,बाहरी
Nulmbing,noun,सुन्न करना
Scaffolding,noun,ढांचा
Pathogen,noun,रोगजनक
Havoc,noun,तबाही
Slip up,noun,गलती
Surveillance,noun,निगरानी
Debility,noun,कमजोरी
Tingling,noun,झुनझुनी
Acute,adjective,गंभीर
Flaccid paralysis,noun,शिथिल पक्षाघात
